pk,the_order,field_name,item_category,item_id,item_description,item_description_short,item_sub_category,user_configurable,sms_keyword,is_void
41000,1,afc_domain_ed_goals,Education Goals,GH1ED,GH1ED. All school going children/young person enrolled in school/education program,GH1ED. All school going children/young person enrolled in school/education program,,FALSE,FALSE,FALSE
41001,2,afc_domain_ed_goals,Education Goals,GH2ED,GH2ED. All school going children/young person access and retained in school/education institution.,GH2ED. All school going children/young person access and retained in school/education institution.,,FALSE,FALSE,FALSE
41002,3,afc_domain_ed_goals,Education Goals,GH3ED,GH3ED. All school going children/young person progressing and transitioning apropriately.,GH3ED. All school going children/young person progressing and transitioning apropriately.,,FALSE,FALSE,FALSE
41003,4,afc_domain_ed_goals,Education Goals,GH4ED,GH4ED. All school going children/young person with disability are enrolled and regulary attend a disability friendly learning institutions,GH4ED. All school going children/young person with disability are enrolled,,FALSE,FALSE,FALSE
41004,1,afc_domain_hd_goals,Health and Dev Goals,GH1HD,GH1HD. Children have atleast three balanced meals per day,GH1HD. Children have atleast three balanced meals per day,,FALSE,FALSE,FALSE
41005,2,afc_domain_hd_goals,Health and Dev Goals,GH2HD,GH2HD. Children have access to medical services as needed,GH2HD. Children have access to medical services as needed,,FALSE,FALSE,FALSE
41006,3,afc_domain_hd_goals,Health and Dev Goals,GH3HD,GH3HD. children are fully immunized ,GH3HD. children are fully immunized ,,FALSE,FALSE,FALSE
41007,4,afc_domain_hd_goals,Health and Dev Goals,GH4HD,GH4HD. Families live in drug and substance free environment ,GH4HD. Families live in drug and substance free environment ,,FALSE,FALSE,FALSE
41008,5,afc_domain_hd_goals,Health and Dev Goals,GH5HD,GH5HD. Families / children live in Clean and healthy environment ,GH5HD. Families / children live in Clean and healthy environment ,,FALSE,FALSE,FALSE
41009,6,afc_domain_hd_goals,Health and Dev Goals,GH6HD,"GH6HD. Child developing normally in physical,cognitive ând milestones","GH6HD. Child developing normally in physical,cognitive ând milestones",,FALSE,FALSE,FALSE
